ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9474917,HX128658,01/01/2014 12:00:00 AM,019XX W 83RD ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,0614,006,18,71,20,1164995,1849665,2014,02/01/2014 12:40:05 AM,41.743080046,-87.671031011,"(41.743080046, -87.671031011)"
9507412,HX162947,01/01/2014 12:00:00 AM,077XX S HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0611,006,18,71,14,1163752,1853137,2014,02/27/2014 12:42:14 AM,41.75263389,-87.675488173,"(41.75263389, -87.675488173)"
9607885,HX256194,01/01/2014 12:01:00 AM,053XX W POTOMAC AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,true,false,2532,025,37,25,11,1140459,1908177,2014,05/16/2014 12:37:19 PM,41.904129095,-87.759501483,"(41.904129095, -87.759501483)"
9490406,HX144423,01/01/2014 12:01:00 AM,004XX N CENTRAL PARK BLVD,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1123,011,27,23,02,1152308,1902789,2014,03/31/2014 12:39:14 AM,41.889118143,-87.716119059,"(41.889118143, -87.716119059)"
9613833,HX263348,01/01/2014 12:01:00 AM,059XX S INDIANA AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,false,false,0232,002,20,40,02,1178662,1865452,2014,05/17/2014 12:34:21 PM,41.786101727,-87.620475363,"(41.786101727, -87.620475363)"
9476684,HX130306,01/01/2014 12:01:00 AM,001XX N STATE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,DEPARTMENT STORE,false,false,0111,001,42,32,06,1176392,1900920,2014,02/09/2014 12:38:49 AM,41.883480076,-87.627730028,"(41.883480076, -87.627730028)"
9605309,HX254924,01/01/2014 12:01:00 AM,043XX W PALMER ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,2522,025,30,20,20,1147174,1914231,2014,05/13/2014 12:41:47 PM,41.920615968,-87.734680069,"(41.920615968, -87.734680069)"
9515113,HX170747,01/01/2014 12:01:00 AM,003XX W ROOT ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,0925,009,3,37,02,1174469,1877388,2014,04/05/2014 12:39:46 AM,41.818949662,-87.635493579,"(41.818949662, -87.635493579)"
9605321,HX254930,01/01/2014 12:01:00 AM,031XX N SPRINGFIELD AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,2523,025,31,21,20,1149751,1920546,2014,05/16/2014 12:37:19 PM,41.937895124,-87.725046957,"(41.937895124, -87.725046957)"
9517915,HX173342,01/01/2014 12:01:00 AM,052XX N LEAMINGTON AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1623,016,45,11,06,1141129,1934285,2014,03/08/2014 12:40:21 AM,41.975759678,-87.756394924,"(41.975759678, -87.756394924)"
9587785,HX238091,01/01/2014 12:01:00 AM,065XX N TALMAN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,2412,024,50,2,11,1157430,1943335,2014,04/28/2014 12:39:03 AM,42.00027637,-87.696202175,"(42.00027637, -87.696202175)"
9516135,HX171674,01/01/2014 12:01:00 AM,114XX S VINCENNES AVE,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,false,false,2212,022,19,75,06,1166077,1828538,2014,03/12/2014 12:41:10 AM,41.685081264,-87.66766498,"(41.685081264, -87.66766498)"
9603202,HX252172,01/01/2014 12:01:00 AM,122XX S LAFAYETTE AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0523,005,9,53,17,1178090,1823906,2014,05/09/2014 12:37:47 PM,41.672107221,-87.623828184,"(41.672107221, -87.623828184)"
9498181,HX146768,01/01/2014 12:01:00 AM,083XX S DREXEL AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,true,0632,006,8,44,06,1183640,1849713,2014,02/19/2014 12:39:37 AM,41.742797669,-87.602713909,"(41.742797669, -87.602713909)"
